stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
    595,,"KINGSTOWN NS SAMUEL RODMAN",,  41.459516, -71.508756,,,0,
    605,,"BELLEVUE OPP MARBLE HOUSE",,  41.462530, -71.306669,,,0,
    615,,"KINGSTOWN NS SAUGUATUCKET",,  41.462169, -71.509323,,,0,
    630,,"BOSTON NECK AT 483 BOSTON NECK",,  41.454983, -71.440326,,,0,
    635,,"BOSTON NECK OPP ANAWAN CLIFF",,  41.461219, -71.433642,,,0,
    640,,"BOSTON NECK OPP HILLVIEW",,  41.464374, -71.432912,,,0,
    645,,"BOSTON NECK AT 750 BOSTON NECK",,  41.467190, -71.433588,,,0,
    650,,"BELLEVUE OPP 541 BELLEVUE",,  41.465772, -71.306883,,,0,
    655,,"BELLEVUE OPP ROSECLIFF",,  41.465496, -71.306933,,,0,
    665,,"BOSTON NECK NS WEST BAY",,  41.469251, -71.433902,,,0,
    670,,"KINGSTOWN NS GREENWOOD",,  41.467617, -71.512248,,,0,
    685,,"KINGSTOWN OPP GREENWOOD",,  41.467638, -71.512128,,,0,
    730,,"RUGGLES OPP STONEACRE",,  41.468123, -71.305747,,,0,
    735,,"RUGGLES OPP 204 RUGGLES",,  41.468284, -71.304332,,,0,
    740,,"RUGGLES AT STONEACRE HOUSE",,  41.468206, -71.305650,,,0,
    745,,"RUGGLES AT WETMORE",,  41.468379, -71.302933,,,0,
    750,,"RUGGLES OPP CAREY MANSION",,  41.468328, -71.304343,,,0,
    755,,"RUGGLES OPP WETMORE",,  41.468510, -71.302897,,,0,
    760,,"RUGGLES NS OCHRE POINT",,  41.468628, -71.299664,,,0,
    775,,"OCHRE POINT NS RUGGLES",,  41.468826, -71.299495,,,0,
    780,,"BOSTON NECK FS MARIAN",,  41.473036, -71.434068,,,0,
    785,,"BOSTON NECK NS BROWNING",,  41.467493, -71.433526,,,0,
    790,,"OCHRE POINT NS VICTORIA",,  41.469948, -71.299707,,,0,
    805,,"KINGSTOWN NS ROLENS",,  41.469874, -71.513576,,,0,
    815,,"KINGSTOWN OPP ROLENS",,  41.469970, -71.513763,,,0,
    820,,"OCHRE POINT NS OHARE CENTER",,  41.470592, -71.299750,,,0,
    830,,"OCHRE POINT OPP OHARE CENTER",,  41.470963, -71.299939,,,0,
    845,,"OCHRE PONT OPP MCAULEY HALL",,  41.472293, -71.300172,,,0,
    850,,"OCHRE PONT AT MCAULEY HALL",,  41.472223, -71.300024,,,0,
    875,,"OCHRE POINT AT LEROY",,  41.473046, -71.300161,,,0,
    880,,"OCHRE POINT NS LEROY",,  41.473187, -71.300316,,,0,
    885,,"BOSTON NECK OPP MARIAN",,  41.473100, -71.433888,,,0,
    890,,"BOSTON NECK AT 904 BOSTON NECK",,  41.475633, -71.435242,,,0,
    905,,"KINGSTOWN NS WESTWIND",,  41.471060, -71.514680,,,0,
    910,,"OCHRE POINT NS WEBSTER",,  41.474144, -71.300124,,,0,
    915,,"OCHRE POINT NS WEBSTER",,  41.474556, -71.300226,,,0,
    925,,"KINGSTOWN OPP WAYSIDE",,  41.474617, -71.517515,,,0,
    935,,"KINGSTOWN OPP EAST FARM",,  41.472152, -71.515620,,,0,
    940,,"BELLEVUE NS NARRAGANSETT",,  41.475496, -71.307904,,,0,
    950,,"NARRAGANSETT NS BELLEVUE",,  41.475348, -71.307231,,,0,
    955,,"OCHRE POINT NS NARRAGANSETT",,  41.475545, -71.300055,,,0,
    965,,"NARRAGANSETT OPP NEWPORT HALL",,  41.475517, -71.302747,,,0,
    970,,"NARRAGANSETT AT CHEPSTOW HOUSE",,  41.475495, -71.304955,,,0,
    975,,"BOSTON NECK NS EMERY",,  41.478025, -71.435953,,,0,
    980,,"BOSTON NECK AT 909 BOSTON NECK",,  41.475666, -71.435073,,,0,
    985,,"NARRAGANSETT AT NARRAGANSETT HALL",,  41.475598, -71.302763,,,0,
   1010,,"BELLEVUE FS DIXON",,  41.477153, -71.308055,,,0,
   1030,,"KINGSTOWN AT 2327 KINGSTOWN",,  41.476133, -71.518739,,,0,
   1035,,"KINGSTOWN FS WAYSIDE",,  41.474451, -71.517491,,,0,
   1040,,"BELLEVUE NS PERRY",,  41.479251, -71.308596,,,0,
   1055,,"BOSTON NECK OPP CONANICUS",,  41.479319, -71.436179,,,0,
   1060,,"BOSTON NECK NS CONANICUS",,  41.479532, -71.436402,,,0,
   1070,,"KINGSTOWN AT 2318 KINGSTOWN",,  41.475945, -71.518724,,,0,
   1075,,"KINGSTOWN FS NORTH",,  41.480003, -71.522949,,,0,
   1080,,"KINGSTOWN FS RT 138",,  41.479607, -71.520794,,,0,
   1085,,"KINGSTOWN AT 2579 KINGSTOWN",,  41.480197, -71.524366,,,0,
   1095,,"BELLEVUE FS BOWERY",,  41.480894, -71.308547,,,0,
   1100,,"BELLEVUE FS E BOWERY",,  41.481051, -71.308429,,,0,
   1120,,"UPPER COLLEGE NS RT 138",,  41.481190, -71.525551,,,0,
   1125,,"KINGSTOWN AT GRADUATE VILLAGE APARTMENTS",,  41.482005, -71.535882,,,0,
   1140,,"LOWER COLLEGE NS BAYBERRY",,  41.482182, -71.529691,,,0,
   1145,,"BELLEVUE OPP TENNIS HALL OF FAME",,  41.482559, -71.308563,,,0,
   1150,,"BELLEVUE AT TENNIS HALL OF FAME",,  41.482950, -71.308448,,,0,
   1155,,"LOWER COLLEGE OPP ST AUGUSTINES CHURCH",,  41.481905, -71.529871,,,0,
   1165,,"BOSTON NECK NS MOUNTVIEW",,  41.483023, -71.436962,,,0,
   1175,,"KINGSTOWN FS W INDEPENDENCE",,  41.482871, -71.540778,,,0,
   1180,,"UPPER COLLEGE NS CAMPUS",,  41.482731, -71.525703,,,0,
   1185,,"UPPER COLLEGE FS CAMPUS",,  41.482725, -71.525816,,,0,
   1190,,"CAMPUS AT COLLEGE OF PHARMACY",,  41.483487, -71.528164,,,0,
   1205,,"KINGSTOWN NS WAITES CORNER",,  41.482979, -71.551555,,,0,
   1210,,"BELLEVUE FS DOWNING",,  41.485734, -71.308748,,,0,
   1215,,"BELLEVUE FS PELHAM",,  41.485142, -71.308774,,,0,
   1225,,"URI STUDENT UNION",,  41.484315, -71.529311,,,0,
   1230,,"KINGSTON RAILROAD STATION",,  41.484102, -71.560243,,,0,
   1245,,"BOSTON NECK OPP GARDENIA",,  41.485199, -71.437187,,,0,
   1250,,"BOSTON NECK FS GARDENIA",,  41.485433, -71.437117,,,0,
   1295,,"BOSTON NECK OPP 1141 BOSTON NECK",,  41.488035, -71.437646,,,0,
   1300,,"BELLEVUE NS CHURCH",,  41.487185, -71.309318,,,0,
   1305,,"BELLEVUE NS ZION",,  41.487638, -71.309422,,,0,
   1315,,"TOURO NS HIGH",,  41.488671, -71.311134,,,0,
   1330,,"TOURO NS TOURO COURT",,  41.489805, -71.314371,,,0,
   1340,,"MARLBOROUGH NS THAMES",,  41.490822, -71.315476,,,0,
   1345,,"MARLBOROUGH OPP DUKE",,  41.490950, -71.315198,,,0,
   1365,,"MARLBOROUGH NS FAREWELL",,  41.491325, -71.313491,,,0,
   1370,,"MARLBOROUGH FS BROADWAY",,  41.491412, -71.312810,,,0,
   1375,,"NEWPORT CITY HALL",,  41.491852, -71.311566,,,0,
   1380,,"GATEWAY CENTER AT 60 BUS BERTH",,  41.491412, -71.317804,,,0,
   1381,,"GATEWAY CENTER AT TROLLEY STOP",,  41.491752, -71.317621,,,0,
   1382,,"GATEWAY CENTER AT 63 BUS BERTH",,  41.491053, -71.318003,,,0,
   1383,,"GATEWAY CENTER AT 64 BUS BERTH",,  41.491485, -71.317772,,,0,
   1384,,"GATEWAY CENTER AT 14 BUS BERTH",,  41.491545, -71.317750,,,0,
   1395,,"BOSTON NECK FS S FERRY",,  41.492364, -71.437984,,,0,
   1400,,"BOSTON NECK NS BRIDGETOWN",,  41.492409, -71.438150,,,0,
   1420,,"THIRD FS BRIDGE",,  41.492298, -71.318642,,,0,
   1430,,"BROADWAY BETWEEN COLLINS & MANN",,  41.492751, -71.310805,,,0,
   1435,,"BROADWAY FS AYRAULT",,  41.493536, -71.309679,,,0,
   1450,,"BOSTON LAKE NS EDGEWATER",,  41.494846, -71.437896,,,0,
   1455,,"BOSTON NECK OPP EDGEWATER",,  41.494793, -71.437764,,,0,
   1460,,"TOWER HILL PARK&RIDE",,  41.495043, -71.456464,,,0,
   1461,,"RT 1 AFTER GILBERT STUART",,  41.524150, -71.464950,,,0,
   1465,,"THIRD AT WALNUT",,  41.494670, -71.318955,,,0,
   1475,,"BROADWAY NS CRANSTON",,  41.495030, -71.308822,,,0,
   1480,,"BROADWAY NS EQUALITY PARK",,  41.494471, -71.309150,,,0,
   1495,,"NARRAGANSETT FS HOWLAND",,  41.496192, -71.371722,,,0,
   1505,,"NORTH AT 1 NORTH",,  41.496551, -71.374702,,,0,
   1510,,"BROADWAY NS CLINTON",,  41.496347, -71.308343,,,0,
   1515,,"NARRAGANSETT AT 20 NARRAGANSETT",,  41.496370, -71.368745,,,0,
   1520,,"NARRAGANSETT FS GRINNELL",,  41.496315, -71.371732,,,0,
   1525,,"NARRAGANSETT FS E SHORE",,  41.496382, -71.367405,,,0,
   1526,,"CONANICUS FS NARRAGANSETT",,  41.496595, -71.367009,,,0,
   1530,,"THIRD NS LASALLE",,  41.497507, -71.319305,,,0,
   1535,,"BOSTON NECK FS BANFIELD",,  41.497986, -71.436300,,,0,
   1540,,"BROADWAY NS FRIENDSHIP",,  41.497990, -71.307340,,,0,
   1545,,"BOSTON NECK NS PETTAQUAMSCUTT LAKE",,  41.497967, -71.436521,,,0,
   1555,,"BROADWAY OPP FRIENDSHIP",,  41.498142, -71.307410,,,0,
   1565,,"NORTH NS VALLEY",,  41.498233, -71.374589,,,0,
   1575,,"CONANICUS FS KNOWLES",,  41.496757, -71.367143,,,0,
   1590,,"BROADWAY NS SUMMER",,  41.499798, -71.306406,,,0,
   1595,,"BROADWAY NS GIBBS",,  41.499862, -71.306139,,,0,
   1600,,"THIRD FS CYPRESS",,  41.499988, -71.319747,,,0,
   1605,,"THIRD OPP CYPRESS",,  41.500429, -71.319726,,,0,
   1610,,"BOSTON NECK OPP RIVERDELL",,  41.500947, -71.433596,,,0,
   1615,,"BOSTON NECK NS RIVERDELL",,  41.500993, -71.433797,,,0,
   1625,,"BROADWAY NS BROOKS",,  41.501178, -71.305113,,,0,
   1635,,"BROADWAY NS GREEN",,  41.501871, -71.304710,,,0,
   1645,,"THIRD AT BAYSIDE VILLAGE",,  41.501716, -71.319844,,,0,
   1650,,"THIRD OPP BAYSIDE VILLAGE",,  41.501766, -71.320017,,,0,
   1660,,"BOSTON NECK NS INDIAN",,  41.502256, -71.432130,,,0,
   1665,,"BROADWAY NS COUNTY",,  41.502906, -71.303693,,,0,
   1670,,"BROADWAY NS THURSTON",,  41.503163, -71.303639,,,0,
   1695,,"THIRD OPP DYERS GATE",,  41.503582, -71.320243,,,0,
   1705,,"BROADWAY NS VERNON",,  41.503961, -71.302835,,,0,
   1715,,"THIRD OPP NAVAL HEALTH CLINIC",,  41.504382, -71.320194,,,0,
   1720,,"BROADWAY OPP CANONICUS",,  41.505017, -71.301968,,,0,
   1725,,"BOSTON NECK FS MINER",,  41.504953, -71.428414,,,0,
   1730,,"BOSTON NECK NS MINER",,  41.505015, -71.428620,,,0,
   1735,,"BROADWAY NS CANONICUS",,  41.505043, -71.302186,,,0,
   1745,,"CONANICUS NS MT HOPE",,  41.504757, -71.364472,,,0,
   1755,,"ADMIRAL KALBFUS AT ADMIRALS GATE",,  41.506695, -71.319325,,,0,
   1760,,"ADMIRAL KALBFUS NS ROWLAND",,  41.506190, -71.302662,,,0,
   1770,,"ADMIRAL KALBFUS OPP ROWLAND",,  41.506187, -71.302274,,,0,
   1775,,"CONNELL AT NEWPORT TIRE",,  41.507682, -71.317696,,,0,
   1776,,"CONANICUS NS MT HOPE",,  41.504880, -71.364623,,,0,
   1777,,"E SHORE NS FREEBODY (RI TURNPIKE AUTHORITY)",,  41.511100, -71.365260,,,0,
   1810,,"ADMIRAL KALBFUS AT NEWPORT GRAND",,  41.507618, -71.313161,,,0,
   1820,,"W MAIN NS DUDLEY",,  41.507228, -71.301742,,,0,
   1830,,"ADMIRAL KALBFUS OPP NEWPORT GRAND",,  41.507898, -71.312605,,,0,
   1835,,"CONNELL OPP NISSAN VOLVO",,  41.508102, -71.317583,,,0,
   1850,,"GIRARD NS ADM KALBFUS",,  41.508148, -71.311638,,,0,
   1860,,"GIRARD NS SUNSET",,  41.512960, -71.313280,,,0,
   1865,,"CONNELL AT NEWPORT ADULTS VIDEO",,  41.511545, -71.318059,,,0,
   1870,,"NEWPORT TOWNE CENTER (LAUNDROMAT)",,  41.511926, -71.317415,,,0,
   1875,,"BOSTON NECK NS FERRY",,  41.507607, -71.424960,,,0,
   1880,,"BOSTON NECK FS FERRY",,  41.507661, -71.425119,,,0,
   1890,,"NEWPORT TOWNE CENTER (WALMART)",,  41.510625, -71.316887,,,0,
   1895,,"NEWPORT TOWNE CENTER (STOP&SHOP)",,  41.508474, -71.316430,,,0,
   1900,,"W MAIN AT RODEWAY INN",,  41.506577, -71.301524,,,0,
   1905,,"HILLSIDE NS EISENHOWER",,  41.509678, -71.307751,,,0,
   1915,,"HILLSIDE NS BEACON",,  41.511967, -71.308767,,,0,
   1920,,"W MAIN NS STOCKTON",,  41.509392, -71.301921,,,0,
   1940,,"W MAIN FS ROSEDALE",,  41.511214, -71.302368,,,0,
   1945,,"WYOMING PARK&RIDE (RICHMOND)",,  41.511973, -71.689832,,,0,
   1955,,"W MAIN AT 211 W MAIN",,  41.511411, -71.302233,,,0,
   1975,,"HILLSIDE OPP SERGEANT GREENE",,  41.512880, -71.309615,,,0,
   1976,,"HILLSIDE OPP 218 HILLSIDE",,  41.514642, -71.309741,,,0,
   1980,,"W MAIN FS BEACON",,  41.513742, -71.301747,,,0,
   1990,,"W MAIN FS BEACON",,  41.513881, -71.301579,,,0,
   2005,,"HILLSIDE AT 216 HILLSIDE",,  41.514646, -71.309865,,,0,
   2010,,"GIRARD FS FESTIVAL FIELD APARTMENTS",,  41.511682, -71.313096,,,0,
   2015,,"W MAIN AT MOBIL STATION",,  41.515144, -71.301354,,,0,
   2020,,"CONNELL NS MAPLE",,  41.515053, -71.316041,,,0,
   2025,,"CONNELL OPP HILLMART",,  41.515038, -71.316217,,,0,
   2035,,"W MAIN FS SMYTHE",,  41.515560, -71.301030,,,0,
   2045,,"HILLSIDE NS MAPLE",,  41.515906, -71.309734,,,0,
   2055,,"MAPLE NS JOHN CHAFFEE",,  41.515894, -71.312682,,,0,
   2060,,"MAPLE AT HEAD START CENTER",,  41.516108, -71.312361,,,0,
   2065,,"BOSTON NECK OPP CHARLOTTE",,  41.516748, -71.423412,,,0,
   2070,,"BOSTON NECK FS CHARLOTTE",,  41.516702, -71.423240,,,0,
   2075,,"W MAIN AT BANK OF NEWPORT",,  41.517222, -71.300606,,,0,
   2080,,"E MAIN OPP NEWPORT MART",,  41.517093, -71.299326,,,0,
   2085,,"E MAIN AT NEWPORT MARKET",,  41.517257, -71.299285,,,0,
   2090,,"CODDINGTON NS JOHN CHAFEE",,  41.518131, -71.313698,,,0,
   2100,,"E MAIN OPP 114 E MAIN",,  41.517743, -71.297004,,,0,
   2105,,"CODDINGTON NS W MAIN",,  41.518233, -71.300648,,,0,
   2125,,"E MAIN AT SHELL GAS",,  41.518568, -71.294068,,,0,
   2140,,"CODDINGTON OPP HARBOR BASE INN",,  41.519375, -71.311716,,,0,
   2145,,"CODDINGTON NS NIAGRA",,  41.518598, -71.303070,,,0,
   2150,,"CODDINGTON NS JONES",,  41.518765, -71.304618,,,0,
   2155,,"CODDINGTON NS SHERMAN",,  41.518855, -71.306072,,,0,
   2165,,"CODDINGTON AT BAYVIEW PARK",,  41.519018, -71.307398,,,0,
   2170,,"CODDINGTON OPP SHERMAN",,  41.519007, -71.305795,,,0,
   2175,,"CODDINGTON AT RIPTA GARAGE",,  41.519275, -71.309746,,,0,
   2180,,"CODDINGTON OPP BAYVIEW TRAILER PARK",,  41.519162, -71.307064,,,0,
   2185,,"E MAIN NS VALLEY",,  41.519100, -71.293092,,,0,
   2195,,"W MAIN NS MAPLEWOOD",,  41.519281, -71.299718,,,0,
   2200,,"CODDINGTON OPP RIPTA GARAGE",,  41.519474, -71.309638,,,0,
   2205,,"E MAIN NS ENTERPRISE DR",,  41.519548, -71.290906,,,0,
   2210,,"E MAIN FS ENTERPRISE",,  41.519676, -71.291209,,,0,
   2215,,"E MAIN AT 351 E MAIN",,  41.520224, -71.288675,,,0,
   2230,,"VALLEY OPP CHESTNUT HILL",,  41.520791, -71.294159,,,0,
   2235,,"W MAIN NS OAKWOOD",,  41.521651, -71.298915,,,0,
   2240,,"E MAIN NS FOREST",,  41.521046, -71.285532,,,0,
   2245,,"BOSTON NECK FS HOMESTEAD",,  41.521254, -71.424046,,,0,
   2250,,"BOSTON NECK OPP SNUFF MILL",,  41.522420, -71.423628,,,0,
   2255,,"E MAIN NS FOREST",,  41.521104, -71.285845,,,0,
   2260,,"RT 1 AT 2299 TOWER HILL",,  41.514920, -71.461385,,,0,
   2265,,"E MAIN NS AQUIDNECK",,  41.521684, -71.283372,,,0,
   2270,,"E MAIN FS AQUIDNECK",,  41.521665, -71.284070,,,0,
   2280,,"VALLEY OPP NAPA AUTO",,  41.521838, -71.294740,,,0,
   2285,,"E MAIN AT 644 E MAIN",,  41.524210, -71.279173,,,0,
   2290,,"E MAIN FS WYATT",,  41.522860, -71.281137,,,0,
   2295,,"W MAIN AT MIDDLETOWN PUBLIC LIBRARY",,  41.521907, -71.299019,,,0,
   2300,,"W MAIN NS VALLEY",,  41.523402, -71.298232,,,0,
   2305,,"VALLEY NS W MAIN",,  41.523824, -71.297541,,,0,
   2310,,"W MAIN OPP VALLEY",,  41.524020, -71.298223,,,0,
   2315,,"W MAIN FS WOOLSEY",,  41.524878, -71.297680,,,0,
   2320,,"BOSTON NECK OPP 1865 BOSTON NECK",,  41.524558, -71.423991,,,0,
   2325,,"BOSTON NECK NS BARBERS HEIGHTS",,  41.524298, -71.424082,,,0,
   2335,,"W MAIN NS CHASES",,  41.525923, -71.297526,,,0,
   2340,,"E MAIN NS TURNER",,  41.525880, -71.276159,,,0,
   2345,,"E MAIN OPP TURNER",,  41.526101, -71.276117,,,0,
   2360,,"RT 1A & RT 138 PARK&RIDE (curbside)",,  41.526992, -71.425556,,,0,
   2361,,"TASHTASSUCK FS HELM",,  41.525592, -71.385276,,,0,
   2365,,"W MAIN AT ALL SAINTS ACADEMY",,  41.527304, -71.296415,,,0,
   2370,,"BOSTON NECK NS RT 138 WEST [ON-RAMP]",,  41.530551, -71.428171,,,0,
   2380,,"NUWC GATE 17",,  41.529203, -71.307644,,,0,
   2385,,"W MAIN AT 936 W MAIN",,  41.528018, -71.296217,,,0,
   2390,,"E MAIN OPP CHAVES GARDENS",,  41.530294, -71.272856,,,0,
   2395,,"E MAIN NS MEADOW",,  41.529703, -71.273136,,,0,
   2405,,"W MAIN AT 999 W MAIN (PLAZA)",,  41.529581, -71.294749,,,0,
   2410,,"W MAIN OPP 999 W MAIN",,  41.529655, -71.294937,,,0,
   2415,,"W MAIN NS FOREST",,  41.530666, -71.293986,,,0,
   2425,,"W MAIN OPP FOREST",,  41.531020, -71.293965,,,0,
   2430,,"E MAIN NS OLIPHANT",,  41.531860, -71.271331,,,0,
   2435,,"E MAIN NS OLIPHANT",,  41.532157, -71.271246,,,0,
   2440,,"W MAIN NS VANICEK",,  41.532627, -71.293429,,,0,
   2445,,"W MAIN AT CARDI'S FURNITURE",,  41.533073, -71.293070,,,0,
   2455,,"W MAIN NS BRIGHT IDEAS",,  41.534933, -71.292692,,,0,
   2460,,"W MAIN AT MIDDLETOWN SQUARE PLAZA",,  41.534557, -71.292583,,,0,
   2470,,"W MAIN NS BROWNS LANE SHOPPING CTR",,  41.537880, -71.291856,,,0,
   2475,,"STOP&SHOP (WEST MAIN ROAD - MIDDLETOWN)",,  41.536636, -71.293336,,,0,
   2480,,"W MAIN AT 1397 W MAIN",,  41.537387, -71.291786,,,0,
   2495,,"E MAIN OPP MITCHELL",,  41.538183, -71.265849,,,0,
   2500,,"E MAIN NS MITCHELLS",,  41.537955, -71.265797,,,0,
   2505,,"BOSTON NECK OPP GILBERT STUART",,  41.538758, -71.438657,,,0,
   2510,,"BOSTON NECK NS GILBERT STUART",,  41.538893, -71.438993,,,0,
   2515,,"W MAIN OPP 1522 W MAIN",,  41.539573, -71.291406,,,0,
   2520,,"W MAIN NS SQUANTUM",,  41.540951, -71.291684,,,0,
   2525,,"E MAIN NS WOODLAND",,  41.541306, -71.263527,,,0,
   2530,,"E MAIN OPP RANDALL",,  41.540815, -71.264004,,,0,
   2535,,"W MAIN OPP SQUANTUM",,  41.540978, -71.291483,,,0,
   2540,,"E MAIN FS PAQUINS",,  41.544789, -71.261351,,,0,
   2545,,"E MAIN FS SELINA",,  41.545417, -71.260693,,,0,
   2550,,"W MAIN NS THELMA",,  41.543549, -71.291650,,,0,
   2555,,"BOSTON NECK FS WEAVER (southern intersection)",,  41.543739, -71.441227,,,0,
   2560,,"BOSTON NECK OPP WEAVER",,  41.544070, -71.441132,,,0,
   2565,,"W MAIN FS MARSHALL",,  41.545131, -71.291846,,,0,
   2570,,"OXBOW APARTMENTS",,  41.543701, -71.292799,,,0,
   2575,,"E MAIN AT AQUIDNECK CHRISTIAN ACADEMY",,  41.546435, -71.259947,,,0,
   2585,,"RT 4 FS W ALLENTON",,  41.545561, -71.477161,,,0,
   2595,,"W MAIN AT 1776 W MAIN",,  41.546547, -71.292033,,,0,
   2600,,"W MAIN AT 1761 W MAIN",,  41.546223, -71.291778,,,0,
   2605,,"W MAIN NS GREENE",,  41.548501, -71.292170,,,0,
   2610,,"BOSTON NECK FS WEAVER & HAMILTON ALLENTON",,  41.548185, -71.441464,,,0,
   2615,,"BOSTON NECK NS SALISBURY",,  41.548244, -71.441313,,,0,
   2620,,"W MAIN NS PASTURE FARMS",,  41.548180, -71.291973,,,0,
   2625,,"E MAIN NS SANDY POINT",,  41.550809, -71.257660,,,0,
   2630,,"E MAIN OPP SANDY POINT",,  41.550787, -71.257789,,,0,
   2640,,"BOSTON NECK NS WALDRON",,  41.552523, -71.440770,,,0,
